2018-11-24 08:04:11 status half-installed libudev1:armhf 229-4ubuntu4
2018-11-24 08:04:11 status unpacked libudev1:armhf 229-4ubuntu4
2018-11-24 08:04:11 status unpacked libudev1:armhf 229-4ubuntu4
2018-11-24 08:04:11 install libustr-1.0-1:armhf <none> 1.0.4-5
2018-11-24 08:04:11 status half-installed libustr-1.0-1:armhf 1.0.4-5
2018-11-24 08:04:11 status unpacked libustr-1.0-1:armhf 1.0.4-5
2018-11-24 08:04:11 status unpacked libustr-1.0-1:armhf 1.0.4-5
2018-11-24 08:04:11 install libuuid1:armhf <none> 2.27.1-6ubuntu3
2018-11-24 08:04:11 status half-installed libuuid1:armhf 2.27.1-6ubuntu3
2018-11-24 08:04:11 status unpacked libuuid1:armhf 2.27.1-6ubuntu3
2018-11-24 08:04:11 status unpacked libuuid1:armhf 2.27.1-6ubuntu3
